fixed_ticker,group
000660 KS,AI-Exposed / Big Tech
005930 KS,AI-Exposed / Big Tech
2337 TT,Non-AI / Control Group
2344 TT,Non-AI / Control Group
2395 TT,AI-Exposed / Big Tech
25557878D TT,Non-AI / Control Group
3443 TT,Non-AI / Control Group
3661 TT,AI-Exposed / Big Tech
3665 TT,Non-AI / Control Group
3690 HK,Non-AI / Control Group
4755 JP,Non-AI / Control Group
6526 JP,AI-Exposed / Big Tech
6701 JP,AI-Exposed / Big Tech
6702 JP,AI-Exposed / Big Tech
700 HK,AI-Exposed / Big Tech
AAPL,AI-Exposed / Big Tech
ACN,AI-Exposed / Big Tech
ADBE,AI-Exposed / Big Tech
AFYA,Non-AI / Control Group
AI,Pure-Play AI
AISP,Pure-Play AI
ALAB,AI-Exposed / Big Tech
AMBA,AI-Exposed / Big Tech
AMD,AI-Exposed / Big Tech
AMP IM,Non-AI / Control Group
AMZN,AI-Exposed / Big Tech
ANET,AI-Exposed / Big Tech
APP,AI-Exposed / Big Tech
ARM,AI-Exposed / Big Tech
ASML,AI-Exposed / Big Tech
AVAV,Non-AI / Control Group
BABA,AI-Exposed / Big Tech
BAH,AI-Exposed / Big Tech
BB,Non-AI / Control Group
BBAI,Pure-Play AI
BIDU,AI-Exposed / Big Tech
BZ,AI-Exposed / Big Tech
CCC,AI-Exposed / Big Tech
CDNS,AI-Exposed / Big Tech
CGNX,Pure-Play AI
CGNT,Pure-Play AI
CLS,AI-Exposed / Big Tech
CRM,AI-Exposed / Big Tech
CRWD,AI-Exposed / Big Tech
CRWV,Pure-Play AI
CSCO,Non-AI / Control Group
CYBR,Non-AI / Control Group
DDOG,Non-AI / Control Group
DOCU,AI-Exposed / Big Tech
DXC,Non-AI / Control Group
EBAY,Non-AI / Control Group
EPAM,AI-Exposed / Big Tech
ERIC,Non-AI / Control Group
FB,AI-Exposed / Big Tech
FICO,AI-Exposed / Big Tech
FRSH,AI-Exposed / Big Tech
FTNT,Non-AI / Control Group
G,AI-Exposed / Big Tech
GEHC,AI-Exposed / Big Tech
GOOGL,AI-Exposed / Big Tech
HPE,Non-AI / Control Group
HSC,Non-AI / Control Group
HUBB,Non-AI / Control Group
HUBS,AI-Exposed / Big Tech
HUT,Non-AI / Control Group
IBM,AI-Exposed / Big Tech
IFX GR,Non-AI / Control Group
INFA,AI-Exposed / Big Tech
INTC,AI-Exposed / Big Tech
IONQ,Non-AI / Control Group
IRBT,Non-AI / Control Group
IRM,Non-AI / Control Group
ISRG,AI-Exposed / Big Tech
KLAC,AI-Exposed / Big Tech
KITT,Pure-Play AI
KSCP,Pure-Play AI
LPSN,AI-Exposed / Big Tech
LSCC,Non-AI / Control Group
MCHP,Non-AI / Control Group
MDAI,Pure-Play AI
MRVL,AI-Exposed / Big Tech
MSFT,AI-Exposed / Big Tech
MU,AI-Exposed / Big Tech
NFLX,Non-AI / Control Group
NICE,AI-Exposed / Big Tech
NMTC,Non-AI / Control Group
NOC,Non-AI / Control Group
NOW,AI-Exposed / Big Tech
NTAP,Non-AI / Control Group
NVDA,AI-Exposed / Big Tech
NXPI,Non-AI / Control Group
OKTA,Non-AI / Control Group
ORCL,AI-Exposed / Big Tech
OSS,Non-AI / Control Group
OTEX,Non-AI / Control Group
PANW,AI-Exposed / Big Tech
PATH,Pure-Play AI
PCOR,Non-AI / Control Group
PDY,Pure-Play AI
PEGA,AI-Exposed / Big Tech
PLTR,Pure-Play AI
PONY,Pure-Play AI
PRO,Non-AI / Control Group
PSTG,Non-AI / Control Group
PTC,Non-AI / Control Group
QCOM,AI-Exposed / Big Tech
QUBT,Non-AI / Control Group
RBOT,Non-AI / Control Group
REKR,Pure-Play AI
ROK,Non-AI / Control Group
RXRX,Pure-Play AI
SHOP,Non-AI / Control Group
SMCI,AI-Exposed / Big Tech
SNAP,Non-AI / Control Group
SNOW,AI-Exposed / Big Tech
SNPS,AI-Exposed / Big Tech
SOW GR,Non-AI / Control Group
SOUN,Pure-Play AI
SPLK,Non-AI / Control Group
SPT,AI-Exposed / Big Tech
SSTK,AI-Exposed / Big Tech
STNE,Non-AI / Control Group
STX,Non-AI / Control Group
SYM,Pure-Play AI
TEAM,AI-Exposed / Big Tech
TDC,Non-AI / Control Group
TEMN SW,Non-AI / Control Group
TER,AI-Exposed / Big Tech
TIETO FH,Non-AI / Control Group
TME,Non-AI / Control Group
TEMP,Pure-Play AI
TRI,Non-AI / Control Group
TSEM,Non-AI / Control Group
TSLA,AI-Exposed / Big Tech
TSM,AI-Exposed / Big Tech
TTD,AI-Exposed / Big Tech
TTEK,Non-AI / Control Group
TWLO,Non-AI / Control Group
UBER,AI-Exposed / Big Tech
UI,Non-AI / Control Group
UPST,Pure-Play AI
VERX,AI-Exposed / Big Tech
VNET,Non-AI / Control Group
VRSK,AI-Exposed / Big Tech
VSAT,Non-AI / Control Group
WDAY,AI-Exposed / Big Tech
WIX,Non-AI / Control Group
WRD,Pure-Play AI
YELP,Non-AI / Control Group
YRD,Non-AI / Control Group
ZBRA,Non-AI / Control Group
ZS,Non-AI / Control Group
ZPTA,Non-AI / Control Group
